RunNumber  LumiSec  EventNumber  CRid  MET  MET_phi  MT  MINDPHI  MT2W  lep1_pt  lep1_eta  lep1_phi  lep2_pt  lep2_eta  lep2_phi  passTrackIso  passTau  nSelJets  nBJets  jet1Pt  jet2Pt
run=259890  ls=77  evt=147336215  CR=4  met=274.640656  metPhi=2.074154  mt=416.547913  minDphi=1.164345  MT2W=228.277618  lep1Pt=162.718048  lep1Eta=-0.127268  lep1Phi=-1.411686  lep2Pt=76.485344  lep2Eta=-0.902171  lep2Phi=1.647483  PassTrkVeto=1  PassTauVeto=0  nJets=2  nBTags=1  jet1Pt=220.616302  jet2Pt=112.074150 
run=260426  ls=41  evt=67421039  CR=4  met=253.432007  metPhi=-0.405692  mt=293.029083  minDphi=1.590284  MT2W=121.373444  lep1Pt=97.336021  lep1Eta=-0.759561  lep1Phi=1.998812  lep2Pt=75.261681  lep2Eta=0.875467  lep2Phi=0.036694  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=287.479187  jet2Pt=88.076073 
run=260426  ls=445  evt=712844329  CR=4  met=384.729004  metPhi=2.286408  mt=429.773529  minDphi=2.641332  MT2W=141.204132  lep1Pt=128.927139  lep1Eta=-0.221088  lep1Phi=-0.323339  lep2Pt=44.278118  lep2Eta=0.423769  lep2Phi=1.891817  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=2  jet1Pt=274.182129  jet2Pt=66.959404 
run=260532  ls=633  evt=1081300141  CR=5  met=384.220367  metPhi=1.777506  mt=191.345459  minDphi=2.621724  MT2W=95.926575  lep1Pt=23.855879  lep1Eta=-0.388885  lep1Phi=-1.289790  lep2Pt=16.971910  lep2Eta=0.729139  lep2Phi=1.937819  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=1  jet1Pt=238.714554  jet2Pt=92.985474 
run=260532  ls=351  evt=612674548  CR=6  met=292.028015  metPhi=1.107331  mt=264.875885  minDphi=1.971123  MT2W=125.213318  lep1Pt=74.989479  lep1Eta=-0.580730  lep1Phi=-1.109317  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=362.992279  jet2Pt=304.472076 
run=260532  ls=7  evt=11838651  CR=5  met=318.108337  metPhi=-2.947633  mt=224.444809  minDphi=2.602036  MT2W=150.008362  lep1Pt=39.592499  lep1Eta=-1.113402  lep1Phi=0.177667  lep2Pt=115.548851  lep2Eta=-0.908796  lep2Phi=-2.700705  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=205.101532  jet2Pt=191.294159 
run=260538  ls=99  evt=167971876  CR=4  met=395.006073  metPhi=0.018261  mt=405.918365  minDphi=0.943370  MT2W=490.333984  lep1Pt=105.352272  lep1Eta=2.123986  lep1Phi=2.958024  lep2Pt=45.553436  lep2Eta=0.145951  lep2Phi=-0.192321  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=2  jet1Pt=534.045288  jet2Pt=404.369080 
run=258177  ls=538  evt=796443338  CR=4  met=252.866592  metPhi=1.666226  mt=329.349518  minDphi=1.932834  MT2W=122.318672  lep1Pt=121.043236  lep1Eta=-0.106836  lep1Phi=-2.164257  lep2Pt=50.313461  lep2Eta=-1.076399  lep2Phi=1.553259  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=1  jet1Pt=421.860870  jet2Pt=263.570465 
run=260424  ls=245  evt=460400726  CR=4  met=351.416443  metPhi=-2.278268  mt=324.438477  minDphi=1.699567  MT2W=183.952744  lep1Pt=172.055679  lep1Eta=-0.129613  lep1Phi=-0.837387  lep2Pt=89.027588  lep2Eta=-0.048380  lep2Phi=2.169139  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=368.405121  jet2Pt=258.251678 
run=260424  ls=383  evt=717625847  CR=4  met=264.131165  metPhi=-2.480954  mt=174.453461  minDphi=1.166157  MT2W=116.360153  lep1Pt=64.134949  lep1Eta=-0.155665  lep1Phi=-1.012048  lep2Pt=23.556942  lep2Eta=0.013640  lep2Phi=-2.940659  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=2  jet1Pt=352.751678  jet2Pt=145.632767 
